Mon,SpT,Tspot,Teff,Feq(%),Flag,Class,umed,rmed,uamp,ramp,urms,rrms,slope,e_slope,_RA,_DE
57,M3,2697.3763193699565,3357.3763193699565,25.0,*,w,20.23,16.0,0.385,0.308,0.12,0.1,3.2,0.9,100.26641,9.9693
78,M3,3697.3763193699565,3357.3763193699565,10.0,*,w,22.14,18.09,0.315,0.134,0.09,0.04,0.5,0.3,100.25272,10.03735
80,M3,5597.376319369956,3357.3763193699565,1.0,*,c,21.86,17.94,0.494,0.077,0.13,0.019,0.11,0.05,100.32481,10.06726
90,M3,3397.3763193699565,3357.3763193699565,59.0,*,c,20.44,16.72,0.664,0.371,0.16,0.1,1.22,0.1,100.28733,9.5628
102,M3,2497.3763193699565,3357.3763193699565,13.0,*,w,21.1,16.86,0.121,0.094,0.04,0.02,0.7,0.3,100.18014,9.52084
112,M3,3297.3763193699565,3357.3763193699565,13.0,*,w,21.9,17.8,0.267,0.134,0.07,0.04,0.8,0.4,100.21377,9.61086
120,M3,3927.3763193699565,3357.3763193699565,17.0,*,c,19.38,16.52,0.792,0.354,0.24,0.1,0.548,0.015,100.32965,9.44151
153,M3,5557.376319369956,3357.3763193699565,6.1,*,c,20.57,17.5,2.534,0.841,0.8,0.26,0.478,0.01,100.2496,9.78459
192,M3,4297.376319369956,3357.3763193699565,3.0,*,c,21.09,16.83,0.332,0.14,0.14,0.03,0.48,0.1,100.20836,9.74849
294,M3,6497.376319369956,3357.3763193699565,0.3,*,w,22.13,17.63,0.674,0.069,0.15,0.017,0.14,0.05,100.2682,9.45851
309,M3,3897.3763193699565,3357.3763193699565,18.0,*,c,22.28,18.26,0.581,0.254,0.16,0.07,0.6,0.2,100.35076,9.80859
314,M3,4397.376319369956,3357.3763193699565,5.2,*,c,20.52,17.56,0.826,0.279,0.24,0.06,0.4,0.03,100.18576,9.54063
339,M3,3397.3763193699565,3357.3763193699565,13.0,*,w,20.96,16.76,0.186,0.089,0.04,0.02,0.7,0.3,100.39309,9.43151
358,M3,6197.376319369956,3357.3763193699565,0.6,*,c,20.85,17.57,1.169,0.178,0.35,0.05,0.165,0.012,100.27804,9.791
609,M3,2997.3763193699565,3357.3763193699565,34.0,*,w,20.99,16.82,0.378,0.239,0.08,0.07,1.5,0.4,100.41502,9.55554
612,M3,3397.3763193699565,3357.3763193699565,37.0,*,w,20.81,16.54,0.405,0.224,0.1,0.06,1.06,0.17,100.24251,9.92905
615,M3,4397.376319369956,3357.3763193699565,3.0,*,c,21.03,18.47,0.53,0.162,0.12,0.04,0.53,0.13,100.20827,9.85354
625,M3,4607.376319369956,3357.3763193699565,5.6,*,c,21.0,17.73,1.104,0.35,0.35,0.1,0.37,0.02,100.23048,9.66641
628,M3,4897.376319369956,3357.3763193699565,6.6,*,c,21.09,17.93,1.722,0.564,0.58,0.22,0.49,0.02,100.28448,9.50635
657,M3,3877.3763193699565,3357.3763193699565,7.0,*,w,19.36,15.03,0.303,0.123,0.16,0.03,0.38,0.03,100.32379,9.49061
665,M3,3597.3763193699565,3357.3763193699565,12.0,*,w,20.01,15.86,0.14,0.068,0.06,0.02,0.9,0.4,100.27473,9.45484
687,M3,4297.376319369956,3357.3763193699565,14.0,*,c,22.46,18.59,1.112,0.429,0.57,0.15,0.73,0.18,100.23994,9.9702
698,M3,4597.376319369956,3357.3763193699565,5.0,*,c,22.4,18.28,0.438,0.116,0.09,0.03,0.5,0.3,100.31308,9.50472
705,M3,2897.3763193699565,3357.3763193699565,18.0,*,w,21.04,16.88,0.176,0.115,0.04,0.03,0.8,0.3,100.29283,9.55698
742,M3,3697.3763193699565,3357.3763193699565,47.0,*,c,20.97,18.61,0.847,0.453,0.14,0.11,0.89,0.09,100.21308,9.84388
761,M3,4697.376319369956,3357.3763193699565,2.0,*,c,21.96,17.94,0.374,0.093,0.08,0.02,0.24,0.09,100.41407,9.5437
782,M3,4397.376319369956,3357.3763193699565,19.0,*,c,20.86,18.62,1.676,0.71,0.41,0.17,0.59,0.03,100.22606,9.92616
786,M3,2897.3763193699565,3357.3763193699565,19.0,*,w,20.81,16.7,0.178,0.119,0.04,0.03,1.1,0.5,100.34603,9.72407
823,M3,3597.3763193699565,3357.3763193699565,15.0,*,c,21.18,17.06,0.223,0.106,0.05,0.03,0.57,0.15,100.20891,9.95111
893,M3,4067.3763193699565,3357.3763193699565,7.0,*,c,19.47,17.01,0.536,0.199,0.13,0.05,0.57,0.04,100.26904,9.6419
899,M3,4997.376319369956,3357.3763193699565,1.4,*,c,21.46,18.12,0.732,0.16,0.22,0.04,0.2,0.04,100.42451,9.3245
